,SYY
% Above Low,1.0495999999999999
% Held by Institutions,0.7759
52-Wk Range,['26.00 - 85.98']
Annual Dividend $,1.8
Annual Dividend %,0.0344
Ask,56.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,53.0
Bid Size,100.0
Closing Price,53.29
Day Change $,1.01
Day Change %,0.019299999999999998
Day High,53.48
Day Low,52.02
Dividend Pay Date,2020-04-24 00:00:00
"EPS (TTM, GAAP)",2.65
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.5970000000000001
Last (size),9.0
Last (time),6:30p ET 05/08/20
Market Cap,27.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.13
Prev Close,52.28
Shares Outstanding,507.6M
Short Interest,0.0209
Today's Open,53.08
Volume,2470736.0
Volume 10-day Avg,5748915.0
Volume Past Day,(Light)
