,T
Price/Earnings (TTM),15.11347
Price/Sales (TTM),1.18482
Price/Book (MRQ),1.19396
Price/Cash Flow (TTM),4.8473
5yr Low,26.08
5yr High,43.89
5yr Avg Return,0.007316666666666655
EPS Growth 5yr,0.0891107
Revenue Growth 5yr,0.0646819
Dividend Growth 5yr,0.0208513
Short Int Current Month,126051333.0
Short Int Prev Month,128267013.0
Short Int Pct of Float,0.0175892
Days to Cover,3.09793
Float,7118.653
Shares Outstanding,7125.0
Institutions Holding Shares,3083.0
% Held by Institutions,0.53938
FCF Growth 5yr,0.12784956965104638
