,2015,2016,2017,2018,2019,2020,Report
high,36.45,43.89,43.03,39.29,39.7,39.55,
low,30.97,33.41,32.55,26.8,28.3,26.08,
change,0.0226,0.2479,-0.0892,-0.2693,0.3712,-0.2393,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash,,1803.0,4156.0,3130.0,2654.0,,Balance Sheet
Cash & Equivalents,5121.0,3985.0,46342.0,2074.0,9476.0,,Balance Sheet
Cash and Short Term Invs,5121.0,5788.0,50498.0,5204.0,12130.0,,Balance Sheet
"Trade Accts Recvble, Gross",17236.0,17455.0,17185.0,27379.0,23871.0,,Balance Sheet
Prov. for Doubtful Accts,-704.0,-661.0,-663.0,-907.0,-1235.0,,Balance Sheet
"Trade Accts Recvble, Net",16532.0,16794.0,16522.0,27716.0,24247.0,,Balance Sheet
Other Receivables,,1606.0,1781.0,1448.0,1569.0,,Balance Sheet
"Total Receivables, Net",16532.0,18400.0,18303.0,29164.0,25816.0,,Balance Sheet
Total Inventory,4033.0,2039.0,2225.0,2771.0,2864.0,,Balance Sheet
Prepaid Expenses,1072.0,1555.0,1369.0,2047.0,1631.0,,Balance Sheet
"Other Curr. Assets, Total",9234.0,10587.0,6751.0,12241.0,12320.0,,Balance Sheet
Total Current Assets,35992.0,38369.0,79146.0,51427.0,54761.0,,Balance Sheet
Buildings,33784.0,35036.0,36319.0,38013.0,38924.0,,Balance Sheet
Land/Improvements,1638.0,1643.0,1630.0,2714.0,2651.0,,Balance Sheet
Machinery/Equipment,264834.0,277851.0,271505.0,284437.0,287787.0,,Balance Sheet
Construction in Progress,5971.0,5118.0,4045.0,5526.0,4176.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,24039.0,,Balance Sheet
Prop./Plant/Equip. - Gross,306227.0,319648.0,313499.0,330690.0,357577.0,,Balance Sheet
Accumulated Depreciation,-181777.0,-194749.0,-188277.0,-199217.0,-203410.0,,Balance Sheet
Prop./Plant/Equip. - Net,124450.0,124899.0,125222.0,131473.0,154167.0,,Balance Sheet
"Goodwill, Net",104568.0,105207.0,105449.0,146370.0,146241.0,,Balance Sheet
Intangibles - Gross,128649.0,129782.0,129534.0,181483.0,182596.0,,Balance Sheet
Accum. Intangible Amort.,-7939.0,-12922.0,-15258.0,-17656.0,-24979.0,,Balance Sheet
Intangibles - Net,120710.0,116860.0,114276.0,163827.0,157617.0,,Balance Sheet
Long Term Investments,1606.0,1674.0,1560.0,6245.0,3695.0,,Balance Sheet
Other Long Term Assets,15346.0,16812.0,18444.0,32522.0,35188.0,,Balance Sheet
Total Assets,402672.0,403821.0,444097.0,531864.0,551669.0,,Balance Sheet
Accounts Payable,21047.0,22027.0,24439.0,27018.0,29640.0,,Balance Sheet
Accrued Expenses,9325.0,9111.0,10031.0,15970.0,16168.0,,Balance Sheet
Notes Payable/ST Debt,4.0,4.0,2.0,3052.0,4.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,7632.0,9828.0,38372.0,7203.0,11834.0,,Balance Sheet
Dividends Payable,2950.0,3008.0,3070.0,3854.0,3781.0,,Balance Sheet
Customer Advances,4682.0,4519.0,4213.0,5948.0,6124.0,,Balance Sheet
Income Taxes Payable,2176.0,2079.0,1262.0,1179.0,1212.0,,Balance Sheet
Other Current Liabilities,,,,196.0,148.0,,Balance Sheet
"Other Curr. Lblts, Total",9808.0,9606.0,8545.0,11177.0,11265.0,,Balance Sheet
Total Current Liabilities,47816.0,50576.0,81389.0,64420.0,68911.0,,Balance Sheet
Long Term Debt,117631.0,113681.0,125972.0,166250.0,149437.0,,Balance Sheet
Capital Lease Obligations,884.0,,,,1872.0,,Balance Sheet
Total Long Term Debt,118515.0,113681.0,125972.0,166250.0,151309.0,,Balance Sheet
Total Debt,126151.0,123513.0,164346.0,176505.0,163147.0,,Balance Sheet
Deferred Income Tax,56181.0,60128.0,43207.0,57859.0,59502.0,,Balance Sheet
Minority Interest,969.0,975.0,1146.0,9795.0,17713.0,,Balance Sheet
Pension Benefits - Underfunded,34262.0,33578.0,31775.0,19218.0,18788.0,,Balance Sheet
Other LT Liabilities,22258.0,21748.0,19747.0,30233.0,51225.0,,Balance Sheet
"Other Liabilities, Total",56520.0,55326.0,51522.0,49451.0,70013.0,,Balance Sheet
Total Liabilities,280001.0,280686.0,303236.0,347775.0,367448.0,,Balance Sheet
Common Stock,6495.0,6495.0,6495.0,7621.0,7621.0,,Balance Sheet
Additional Paid-In Capital,89763.0,89604.0,89563.0,125525.0,126279.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),33671.0,34734.0,50500.0,58753.0,57936.0,,Balance Sheet
Treasury Stock - Common,-12592.0,-12659.0,-12714.0,-12059.0,-13085.0,,Balance Sheet
Unrealized Gain (Loss),484.0,541.0,660.0,-2.0,48.0,,Balance Sheet
Cum. Trans. Adjustment,-1198.0,-1995.0,-2054.0,-3084.0,-3056.0,,Balance Sheet
Min. Pension Lblty Adj.,6032.0,5671.0,7009.0,6517.0,8515.0,,Balance Sheet
Other Comprehensive Income,16.0,744.0,1402.0,818.0,-37.0,,Balance Sheet
"Other Equity, Total",4850.0,4420.0,6357.0,4251.0,5422.0,,Balance Sheet
Total Equity,122671.0,123135.0,140861.0,184089.0,184221.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,402672.0,403821.0,444097.0,531864.0,551669.0,,Balance Sheet
Ttl Comm. Shares Outs.,6145.0,6139.0,6139.0,7282.0,7255.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,350.0,356.0,356.0,339.0,366.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,146801.0,163786.0,160546.0,170756.0,181193.0,,Income Statement
"Cost of Revenue, Total",67046.0,76884.0,77810.0,79419.0,84141.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",32954.0,36310.0,35290.0,36678.0,39490.0,,Income Statement
Depreciation/Amortization,22016.0,25847.0,24387.0,28430.0,28217.0,,Income Statement
Unusual Expense (Income),0.0,398.0,3089.0,-693.0,1390.0,,Income Statement
Total Operating Expense,122016.0,139439.0,140576.0,143834.0,153238.0,,Income Statement
Total Operating Income,24785.0,24347.0,19970.0,26922.0,27955.0,,Income Statement
"Inter Expse, Non-Operating",-4917.0,-5802.0,-7203.0,-8450.0,-8622.0,,Income Statement
"Inter Capital, Non-Operat",797.0,892.0,903.0,493.0,200.0,,Income Statement
"Inter Expse,Net Non-Operat",-4120.0,-4910.0,-6300.0,-7957.0,-8422.0,,Income Statement
"Inter Income, Non-Operating",,118.0,,,,,Income Statement
"Invest Income, Non-Operat",79.0,98.0,-105.0,-228.0,207.0,,Income Statement
"Inter/Invest Inc, Non-Oper",79.0,216.0,-105.0,-228.0,207.0,,Income Statement
Gain(Loss)on Sale of Assets,,184.0,,,,,Income Statement
"Other, Net",-52.0,-25.0,1574.0,6136.0,-1272.0,,Income Statement
Income Before Tax,20692.0,19812.0,15139.0,24873.0,18468.0,,Income Statement
Income Tax - Total,7005.0,6479.0,5563.0,5638.0,3493.0,,Income Statement
Income After Tax,13687.0,13333.0,9576.0,19235.0,14975.0,,Income Statement
Minority Interest,-342.0,-357.0,-397.0,-583.0,-1072.0,,Income Statement
Net Inc Before Extra Items,13345.0,12976.0,9179.0,18652.0,13903.0,,Income Statement
Total Extraordinary Items,,,20271.0,718.0,,,Income Statement
Total Net Income,13345.0,12976.0,29450.0,19370.0,13903.0,,Income Statement
Total Adjust to Net Income,,,,,-3.0,,Income Statement
Income Available to Common Excl. Extra. Items,13345.0,12976.0,9179.0,18652.0,13900.0,,Income Statement
Income Available to Common Incl. Extra. Items,13345.0,12976.0,29450.0,19370.0,13900.0,,Income Statement
Basic/Primary Weighted Average Shares,5628.0,6168.0,6164.0,6778.0,7319.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,2.37,2.1,1.49,2.75,1.9,,Income Statement
Basic/Primary EPS Incl. Extra. Items,2.37,2.1,4.78,2.86,1.9,,Income Statement
Dilution Adjustment,13.0,13.0,13.0,19.0,21.0,,Income Statement
Diluted Weighted Average Shares,5646.0,6189.0,6183.0,6806.0,7348.0,,Income Statement
Diluted EPS Excl. Extra. Items,2.37,2.1,1.49,2.74,1.89,,Income Statement
Diluted EPS Incl. Extra. Items,2.37,2.1,4.77,2.85,1.89,,Income Statement
Div/Share-ComStockPrimIssue,1.88,1.92,1.96,2.0,2.04,,Income Statement
Gross Divid - Common Stock,10755.0,11913.0,12157.0,14117.0,15028.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",4120.0,4910.0,6300.0,7957.0,8591.0,,Income Statement
"Interest Capitalized, Suppl",-797.0,-892.0,-903.0,-493.0,-200.0,,Income Statement
"Depreciat/Amort, Suppl",19289.0,20661.0,19761.0,20103.0,20285.0,,Income Statement
Total Special Items,85.0,1417.0,4777.0,1309.0,3046.0,,Income Statement
Normalzd Income Before Tax,20777.0,21229.0,19916.0,26182.0,21514.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),29.0,463.0,1755.0,297.0,576.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,7034.0,6942.0,7318.0,5935.0,4069.0,,Income Statement
Normalized Income After Tax,13743.0,14287.0,12598.0,20247.0,17445.0,,Income Statement
Normalzd Inc Avail to Common,13401.0,13930.0,12201.0,19664.0,16370.0,,Income Statement
Basic Normalized EPS,2.38,2.26,1.98,2.9,2.24,,Income Statement
Diluted Normalized EPS,2.38,2.25,1.98,2.89,2.23,,Income Statement
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Cash Flow
Net Income,13687.0,13333.0,29847.0,19953.0,14975.0,,Cash Flow
Depreciation/Depletion,22016.0,25847.0,24387.0,28430.0,28217.0,,Cash Flow
Deferred Taxes,4117.0,2947.0,-15940.0,610.0,1806.0,,Cash Flow
Unusual Items,91.0,192.0,2632.0,-693.0,240.0,,Cash Flow
Equity in Net Earnings/Loss,-49.0,-37.0,174.0,292.0,295.0,,Cash Flow
Other Non-Cash Items,-736.0,2498.0,2900.0,2151.0,15331.0,,Cash Flow
Non-Cash Items,-694.0,2653.0,5706.0,1750.0,15866.0,,Cash Flow
"Cash Taxes Pd, Supplemental",1851.0,3721.0,2006.0,-354.0,1421.0,,Cash Flow
"Cash Interest Pd, Suppl",4822.0,5696.0,6622.0,8818.0,8693.0,,Cash Flow
Accounts Receivable,-535.0,-1579.0,-2225.0,-1734.0,3360.0,,Cash Flow
Other Assets,-1789.0,1708.0,-778.0,-6442.0,-12852.0,,Cash Flow
Payable/Accrued,1291.0,118.0,816.0,1602.0,-1524.0,,Cash Flow
Changes in Working Capital,-3246.0,-5436.0,-5990.0,-7141.0,-12196.0,,Cash Flow
Total Cash from Operations,35880.0,39344.0,38010.0,43602.0,48668.0,,Cash Flow
Capital Expenditures,-19218.0,-21516.0,-20647.0,-20758.0,-19435.0,,Cash Flow
Acquisition of Business,-30759.0,-2959.0,,-43309.0,-1809.0,,Cash Flow
Sale of Business,83.0,646.0,1182.0,2148.0,4684.0,,Cash Flow
"Investment, Net",1545.0,506.0,449.0,-185.0,435.0,,Cash Flow
Other Investing Cash Flow,-795.0,-892.0,73.0,-1041.0,-565.0,,Cash Flow
"OtherInvestCashFlowItms,Tot",-29926.0,-2699.0,1704.0,-42387.0,2745.0,,Cash Flow
Total Cash from Investing,-49144.0,-24215.0,-18943.0,-63145.0,-16690.0,,Cash Flow
Financing Cash Flow Items,-3818.0,-1616.0,1946.0,-3926.0,4148.0,,Cash Flow
Total Cash Dividends Paid,-10200.0,-11797.0,-12038.0,-13410.0,-14888.0,,Cash Flow
Sale/Issuance of Common,143.0,146.0,33.0,745.0,631.0,,Cash Flow
Repurch/Retirement Common,-269.0,-512.0,-463.0,-609.0,-2417.0,,Cash Flow
"Common Stock, Net",-126.0,-366.0,-430.0,136.0,-1786.0,,Cash Flow
"Preferred Stock, Net",,,,,1164.0,,Cash Flow
"Iss (Retirmnt) of Stock,Net",-126.0,-366.0,-430.0,136.0,-622.0,,Cash Flow
Short Term Debt Issued,0.0,,0.0,4898.0,4012.0,,Cash Flow
Short Term Debt Reduction,0.0,,0.0,-2098.0,-6904.0,,Cash Flow
"Short Term Debt, Net",-1.0,0.0,-2.0,1979.0,-3168.0,,Cash Flow
Long Term Debt Issued,33969.0,10140.0,48793.0,41875.0,17039.0,,Cash Flow
Long Term Debt Reduction,-10042.0,-10823.0,-12339.0,-52643.0,-27592.0,,Cash Flow
"Long Term Debt, Net",23927.0,-683.0,36454.0,-10768.0,-10553.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",23926.0,-683.0,36452.0,-8789.0,-13721.0,,Cash Flow
Total Cash From Financing,9782.0,-14462.0,25930.0,-25989.0,-25083.0,,Cash Flow
Net Change in Cash,-3482.0,667.0,44997.0,-45532.0,6895.0,,Cash Flow
NetCash-BeginBal/RsvdforFutUse,8603.0,5121.0,5935.0,50932.0,5400.0,,Cash Flow
NetCash-EndBal/RsrvforFutUse,5121.0,5788.0,50932.0,5400.0,12295.0,,Cash Flow
"Depreciation, Supplemental",22016.0,25847.0,24387.0,28430.0,28217.0,,Cash Flow
Free Cash Flow,16662.0,17828.0,17363.0,22844.0,29233.0,,
FCF Growth,,0.0699795942864001,-0.026082566748934277,0.3156712549674596,0.2796795657503064,0.0,
