,TAP
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.0287474332648872
Growth 1yr High Est,-0.24950884086444014
Growth 1yr Consensus Est,-0.6391281370646636
Growth 2yr Low Est,-11.550088002346728
Growth 2yr High Est,-0.09726750943745566
Growth 2yr Consensus Est,-5.823677755892092
Growth 5yr Low Est,-5.7337760585896325
Growth 5yr High Est,-0.01331985337343633
Growth 5yr Consensus Est,-2.8735479559815342
Growth 5yr Actual/Est,-0.032172374004247245
Growth 3yr Historic,0.007077607329285224
