,2015,2016,2017,2018,2019,2020,Report
high,95.74,112.19,102.14,85.86,67.24,61.94,
low,63.91,80.78,76.25,54.17,49.82,34.01,
change,0.2632,0.0467,-0.1616,-0.3171,-0.0354,-0.2831,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,431.0,561.0,419.0,1058.0,523.0,,Balance Sheet
"Trade Accts Recvble, Gross",417.0,665.0,746.0,751.0,718.0,,Balance Sheet
Prov. for Doubtful Accts,-9.0,-11.0,-17.0,-15.0,-12.0,,Balance Sheet
"Trade Accts Recvble, Net",408.0,670.0,734.0,744.0,715.0,,Balance Sheet
Other Receivables,118.0,136.0,168.0,127.0,106.0,,Balance Sheet
"Total Receivables, Net",526.0,805.0,902.0,871.0,820.0,,Balance Sheet
Invent. - Finished Goods,139.0,214.0,222.0,230.0,237.0,,Balance Sheet
Invent. - Work In Progress,13.0,82.0,85.0,83.0,84.0,,Balance Sheet
Invent. - Raw Materials,19.0,239.0,232.0,224.0,227.0,,Balance Sheet
Inventories - Other,9.0,59.0,52.0,54.0,68.0,,Balance Sheet
Total Inventory,179.0,593.0,592.0,592.0,616.0,,Balance Sheet
Deferred Income Tax,800.0,1699.0,1896.0,2129.0,2259.0,,Balance Sheet
Other Current Assets,123.0,211.0,278.0,246.0,225.0,,Balance Sheet
"Other Curr. Assets, Total",123.0,211.0,278.0,246.0,225.0,,Balance Sheet
Total Current Assets,1259.0,2170.0,2190.0,2766.0,2184.0,,Balance Sheet
Buildings,457.0,853.0,931.0,954.0,1026.0,,Balance Sheet
Land/Improvements,173.0,305.0,364.0,369.0,417.0,,Balance Sheet
Machinery/Equipment,2107.0,4149.0,4577.0,4943.0,5396.0,,Balance Sheet
Construction in Progress,123.0,413.0,534.0,536.0,444.0,,Balance Sheet
Natural Resources,4.0,4.0,4.0,4.0,4.0,,Balance Sheet
Other Prop./Plant/Equip.,116.0,283.0,361.0,361.0,419.0,,Balance Sheet
Prop./Plant/Equip. - Gross,2981.0,6007.0,6770.0,7167.0,7706.0,,Balance Sheet
Accumulated Depreciation,-1390.0,-1499.0,-2097.0,-2559.0,-3005.0,,Balance Sheet
Prop./Plant/Equip. - Net,1591.0,4507.0,4674.0,4608.0,4701.0,,Balance Sheet
"Goodwill, Net",1983.0,8250.0,8406.0,8261.0,7631.0,,Balance Sheet
Intangibles - Gross,5088.0,14436.0,14959.0,14587.0,14651.0,,Balance Sheet
Accum. Intangible Amort.,-342.0,-404.0,-662.0,-810.0,-995.0,,Balance Sheet
Intangibles - Net,4746.0,14032.0,14297.0,13776.0,13656.0,,Balance Sheet
Long Term Investments,2441.0,0.0,,,,,Balance Sheet
Note Rcvble - Long Term,20.0,,,,,,Balance Sheet
Other Long Term Assets,217.0,383.0,682.0,698.0,687.0,,Balance Sheet
Total Assets,12276.0,29342.0,30247.0,30110.0,28860.0,,Balance Sheet
Payable/Accrued,560.0,1298.0,1569.0,1617.0,1568.0,,Balance Sheet
Accrued Expenses,406.0,832.0,763.0,701.0,812.0,,Balance Sheet
Notes Payable/ST Debt,0.0,13.0,386.0,11.0,7.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,29.0,672.0,328.0,1583.0,921.0,,Balance Sheet
Discontinued Operations,4.0,5.0,,,,,Balance Sheet
Other Current Liabilities,219.0,338.0,353.0,388.0,388.0,,Balance Sheet
"Other Curr. Lblts, Total",223.0,343.0,353.0,388.0,388.0,,Balance Sheet
Total Current Liabilities,1217.0,3158.0,3399.0,4301.0,3696.0,,Balance Sheet
Long Term Debt,2909.0,11388.0,10599.0,8894.0,8050.0,,Balance Sheet
Capital Lease Obligations,,,,,60.0,,Balance Sheet
Total Long Term Debt,2909.0,11388.0,10599.0,8894.0,8110.0,,Balance Sheet
Total Debt,2937.0,12073.0,11314.0,10488.0,9038.0,,Balance Sheet
Minority Interest,20.0,203.0,209.0,228.0,254.0,,Balance Sheet
Pension Benefits - Underfunded,202.0,1196.0,849.0,727.0,717.0,,Balance Sheet
Other LT Liabilities,75.0,267.0,317.0,324.0,407.0,,Balance Sheet
Discont. Ops. - Lblts,10.0,13.0,,,,,Balance Sheet
"Other Liabilities, Total",288.0,1476.0,1165.0,1050.0,1123.0,,Balance Sheet
Total Liabilities,5233.0,17923.0,17269.0,16602.0,15440.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,713.0,681.0,663.0,663.0,662.0,,Balance Sheet
Additional Paid-In Capital,4000.0,6635.0,6689.0,6773.0,6774.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),4496.0,6119.0,6958.0,7693.0,7617.0,,Balance Sheet
Treasury Stock - Common,-471.0,-471.0,-471.0,-471.0,-471.0,,Balance Sheet
Unrealized Gain (Loss),,-70.0,-60.0,-60.0,-71.0,,Balance Sheet
Cum. Trans. Adjustment,,-994.0,-315.0,-745.0,-653.0,,Balance Sheet
Min. Pension Lblty Adj.,,-503.0,-375.0,-327.0,-351.0,,Balance Sheet
Other Comprehensive Income,-1695.0,21.0,-111.0,-18.0,-88.0,,Balance Sheet
"Other Equity, Total",-1695.0,-1476.0,-801.0,-1090.0,-1091.0,,Balance Sheet
Total Equity,7043.0,11419.0,12978.0,13507.0,13419.0,,Balance Sheet
