,TDG
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.4298850574712644
Growth 1yr High Est,-0.13671023965141615
Growth 1yr Consensus Est,-0.28329764856134027
Growth 2yr Low Est,-0.334902206154987
Growth 2yr High Est,0.21555655209858215
Growth 2yr Consensus Est,-0.059672827028202424
Growth 5yr Low Est,-0.05613424043497012
Growth 5yr High Est,0.2243449115531304
Growth 5yr Consensus Est,0.08410533555908015
Growth 5yr Actual/Est,0.027212769182598517
Growth 3yr Historic,0.11622592026471512
