,TDG
% Above Low,0.7625000000000001
% Held by Institutions,1.0014
52-Wk Range,['200.06 - 673.51']
Annual Dividend $,
Annual Dividend %,
Ask,370.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,336.5
Bid Size,200.0
Closing Price,352.61
Day Change $,28.06
Day Change %,0.08650000000000001
Day High,353.34
Day Low,330.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.76
Ex-dividend Date,No dividend
Historical Volatility,0.658
Last (size),19.0
Last (time),6:30p ET 05/08/20
Market Cap,19.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.64
Prev Close,324.55
Shares Outstanding,54.1M
Short Interest,0.0676
Today's Open,332.55
Volume,456860.0
Volume 10-day Avg,819559.0
Volume Past Day,(Light)
