,Industry,TDG,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.62,27.64,Valuation,1.000724112961622
Price/Sales (TTM),11.1,3.21,Valuation,0.2891891891891892
Price/Book (MRQ),8.42,,Valuation,
"PEG Ratio (TTM, GAAP)",0.57,7.52,Valuation,13.192982456140351
Gross Profit Margin (TTM),0.22,0.5511,Profitability,2.5050000000000003
Operating Profit Margin (TTM),-0.37560000000000004,0.3636,Profitability,-0.9680511182108624
Net Profit Margin (TTM),-0.4008,0.16820000000000002,Profitability,-0.4196606786427146
Annual Dividend Yield,0.0174,,Dividend,
Dividend Change %,0.0746,,Dividend,
"Dividend Growth Rate, 3 Years",0.094,,Dividend,
EPS Growth (MRQ),-4.3931000000000004,5.7291,Gowth rates,-1.3041132685347474
EPS Growth (TTM),-0.4832,-0.133,Gowth rates,0.27524834437086093
Revenue Growth (MRQ),0.1291,-0.015,Gowth rates,-0.11618900077459333
Revenue Growth (TTM),0.15109999999999998,0.4083,Gowth rates,2.702183984116479
Return On Equity (TTM),0.5414,,Effectiveness,
Return On Assets (TTM),0.0535,0.057999999999999996,Effectiveness,1.0841121495327102
Return On Investment (TTM),0.0666,0.0644,Effectiveness,0.9669669669669668
Revenue Per Employee (TTM),402070.0,324697.0,Effectiveness,0.8075633596139976
Total Debt/Total Capital (MRQ),0.687,1.2916999999999998,Financial strength,1.8802037845705963
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0015,Financial strength,1.1538461538461537
Quick Ratio (MRQ),1.14,2.35,Financial strength,2.0614035087719302
Interest Coverage (MRQ),8.72,2.42,Financial strength,0.27752293577981646
