,TFC
% Above Low,0.5094
% Held by Institutions,0.6966
52-Wk Range,['24.01 - 56.92']
Annual Dividend $,1.8
Annual Dividend %,0.049699999999999994
Ask,37.0
Ask Size,1000.0
B/A Ratio,0.4
B/A Size,400x1000
Beta,1.5
Bid,35.65
Bid Size,400.0
Closing Price,36.24
Day Change $,1.0
Day Change %,0.028399999999999998
Day High,36.6
Day Low,35.56
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.51
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.557
Last (size),8400.0
Last (time),6:30p ET 05/08/20
Market Cap,48.8B
"P/E Ratio (TTM, GAAP)",10.31
Prev Close,35.24
Short Interest,0.0111
Today's Open,36.28
Volume,4282638.0
Volume 10-day Avg,5812539.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.9868766404199475
Growth 1yr High Est,-0.10879629629629628
Growth 1yr Consensus Est,-0.5478364683581218
Growth 2yr Low Est,25.206561679790024
Growth 2yr High Est,0.08845899470899476
Growth 2yr Consensus Est,12.647510337249509
Growth 5yr Low Est,12.704521160025436
Growth 5yr High Est,0.13410455582174385
Growth 5yr Consensus Est,6.41931285792359
Growth 5yr Actual/Est,0.10844133311815579
Growth 3yr Historic,0.10867044339942616
Price/Earnings (TTM),10.31201
Price/Sales (TTM),3.18977
Price/Book (MRQ),0.79667
Price/Cash Flow (TTM),17.53971
5yr Low,24.01
5yr High,56.92
5yr Avg Return,0.018900000000000007
EPS Growth 5yr,0.064104
Revenue Growth 5yr,0.08904730000000001
Dividend Growth 5yr,0.1247461
Short Int Current Month,14900310.0
Short Int Prev Month,16032085.0
Short Int Pct of Float,0.011136600000000002
Days to Cover,1.80169
Float,1336.642
Shares Outstanding,1345.002
Institutions Holding Shares,1539.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.31
"PEG Ratio (TTM, GAAP)",1.86
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2834
Net Profit Margin (TTM),0.22920000000000001
Annual Dividend Yield,0.0497
Dividend Change %,0.12869999999999998
"Dividend Growth Rate, 3 Years",0.1414
EPS Growth (MRQ),-0.026600000000000002
EPS Growth (TTM),-0.099
Revenue Growth (MRQ),0.574
Revenue Growth (TTM),0.39299999999999996
Return On Equity (TTM),0.0733
Return On Assets (TTM),0.0095
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
ford,3
theStreet,hold
cfra,4
creditSuisse,neutral
marketEdge,
newConstructs since,2020-05-09 00:00:00
researchTeam since,2019-09-16 00:00:00
ford since,2020-04-09 00:00:00
theStreet since,2020-03-18 00:00:00
cfra since,2018-07-21 00:00:00
creditSuisse since,2019-12-16 00:00:00
marketEdge since,
