,TGT
Price/Earnings (TTM),18.26862
Price/Sales (TTM),0.74117
Price/Book (MRQ),4.93547
Price/Cash Flow (TTM),9.85785
5yr Low,48.56
5yr High,130.24
5yr Avg Return,0.1124
EPS Growth 5yr,0.1044252
Revenue Growth 5yr,0.014693099999999999
Dividend Growth 5yr,0.0647409
Short Int Current Month,16047169.0
Short Int Prev Month,9665788.0
Short Int Pct of Float,0.032125
Days to Cover,2.77086
Float,498.5474
Shares Outstanding,499.8286
Institutions Holding Shares,1860.0
% Held by Institutions,0.792749
FCF Growth 5yr,0.05363551295736621
