,TJX
Price/Earnings (TTM),18.17276
Price/Sales (TTM),1.39288
Price/Book (MRQ),9.77913
Price/Cash Flow (TTM),14.03715
5yr Low,31.77
5yr High,64.95
5yr Avg Return,0.07921666666666667
EPS Growth 5yr,0.111265
Revenue Growth 5yr,0.0748514
Dividend Growth 5yr,
Short Int Current Month,12179883.0
Short Int Prev Month,12830626.0
Short Int Pct of Float,0.010176099999999999
Days to Cover,1.25613
Float,1197.106
Shares Outstanding,1197.83
Institutions Holding Shares,1892.0
% Held by Institutions,0.903721
FCF Growth 5yr,0.12880990493448374
