,TMO
% Below High,0.04
% Held by Institutions,0.9086
52-Wk Range,['250.21 - 346.89']
Annual Dividend $,0.88
Annual Dividend %,0.0026
Ask,344.7
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.0
Bid,331.25
Bid Size,100.0
Closing Price,333.01
Day Change $,-6.07
Day Change %,-0.0179
Day High,343.86
Day Low,330.36
Dividend Pay Date,2020-04-16 00:00:00
"EPS (TTM, GAAP)",9.18
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.35100000000000003
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,131.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.26
Prev Close,339.08
Shares Outstanding,395.0M
Short Interest,0.0089
Today's Open,343.86
Volume,1616078.0
Volume 10-day Avg,1721684.0
Volume Past Day,(Average)
