,TMUS
% Below High,0.0279
% Held by Institutions,0.48229999999999995
52-Wk Range,['63.50 - 101.35']
Annual Dividend $,
Annual Dividend %,
Ask,98.75
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.3
Bid,98.01
Bid Size,100.0
Closing Price,98.52
Day Change $,3.23
Day Change %,0.0339
Day High,98.77
Day Low,95.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.07
Ex-dividend Date,No dividend
Historical Volatility,0.386
Last (size),22.0
Last (time),4:15p ET 05/08/20
Market Cap,121.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.23
Prev Close,95.29
Short Interest,0.0206
Today's Open,96.64
Volume,4851497.0
Volume 10-day Avg,4293424.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.6675392670157068
Growth 1yr High Est,-0.13267813267813278
Growth 1yr Consensus Est,-0.40010869984691977
Growth 2yr Low Est,-0.7550294760275384
Growth 2yr High Est,-0.08616909466767825
Growth 2yr Consensus Est,-0.4205992853476084
Growth 5yr Low Est,-0.42856665923203424
Growth 5yr High Est,0.007070065920472583
Growth 5yr Consensus Est,-0.21074829665578085
Growth 5yr Actual/Est,-0.036211603001394366
Growth 3yr Historic,0.10907024248813912
Price/Earnings (TTM),24.22812
Price/Sales (TTM),2.70364
Price/Book (MRQ),2.92778
Price/Cash Flow (TTM),11.88359
5yr Low,33.23
5yr High,101.35
5yr Avg Return,0.20421666666666666
EPS Growth 5yr,0.6771107999999999
Revenue Growth 5yr,0.0876421
Dividend Growth 5yr,
Short Int Current Month,15119111.0
Short Int Prev Month,17293426.0
Short Int Pct of Float,0.020615
Days to Cover,2.15601
Float,692.2045
Shares Outstanding,1235.764
Institutions Holding Shares,1007.0
FCF Growth 5yr,0.5012213838072974
"Price/Earnings (TTM, GAAP)",24.23
"PEG Ratio (TTM, GAAP)",7.57
Gross Profit Margin (TTM),0.5975
Operating Profit Margin (TTM),0.1285
Net Profit Margin (TTM),0.078
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2651
EPS Growth (TTM),0.1135
Revenue Growth (MRQ),-0.0644
Revenue Growth (TTM),0.024900000000000002
Return On Equity (TTM),0.1273
Return On Assets (TTM),0.0412
Return On Investment (TTM),0.049400000000000006
Revenue Per Employee (TTM),849642.0
Total Debt/Total Capital (MRQ),0.4857
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),6.18
newConstructs,3
researchTeam,hold
theStreet,buy
marketEdge opinion,long
marketEdge,-1
cfra,5
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-27 00:00:00
theStreet since,2016-02-23 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-01-10 00:00:00
ford since,2019-10-11 00:00:00
creditSuisse since,
