,TPR
% Above Low,0.4617
% Held by Institutions,0.9044
52-Wk Range,['10.18 - 36.06']
Annual Dividend $,
Annual Dividend %,
Ask,15.0
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.4
Bid,14.88
Bid Size,500.0
Closing Price,14.88
Day Change $,0.38
Day Change %,0.0262
Day High,15.06
Day Low,14.53
Dividend Pay Date,03/30/20
"EPS (TTM, GAAP)",-1.02
Ex-dividend Date,03/05/20
Historical Volatility,0.79
Last (size),46.0
Last (time),6:30p ET 05/08/20
Market Cap,4.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,14.5
Short Interest,0.0391
Today's Open,14.99
Volume,4614761.0
Volume 10-day Avg,5986473.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-13 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.9448818897637795
Growth 1yr High Est,-0.5399239543726235
Growth 1yr Consensus Est,-0.7424029220682016
Growth 2yr Low Est,2.9561304836895386
Growth 2yr High Est,0.035823146780630366
Growth 2yr Consensus Est,1.4959768152350845
Growth 5yr Low Est,1.535783475751072
Growth 5yr High Est,0.050100414592031906
Growth 5yr Consensus Est,0.792941945171552
Growth 5yr Actual/Est,0.23044219717536624
Growth 3yr Historic,0.05011053143514016
Price/Earnings (TTM),
Price/Sales (TTM),0.71322
Price/Book (MRQ),1.60917
Price/Cash Flow (TTM),
5yr Low,10.18
5yr High,55.5
5yr Avg Return,-0.11276666666666665
EPS Growth 5yr,-0.0547601
Revenue Growth 5yr,0.046311099999999994
Dividend Growth 5yr,
Short Int Current Month,10763657.0
Short Int Prev Month,9443424.0
Short Int Pct of Float,0.0391231
Days to Cover,1.99647
Float,275.2471
Shares Outstanding,276.0985
Institutions Holding Shares,751.0
FCF Growth 5yr,0.01759496704727457
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6681999999999999
Operating Profit Margin (TTM),-0.0175
Net Profit Margin (TTM),-0.0478
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-3.2710000000000004
EPS Growth (TTM),-1.4122999999999999
Revenue Growth (MRQ),-0.4093
Revenue Growth (TTM),-0.0395
Return On Equity (TTM),-0.09050000000000001
Return On Assets (TTM),-0.0374
Return On Investment (TTM),-0.0438
Revenue Per Employee (TTM),274300.0
Total Debt/Total Capital (MRQ),0.3859
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),33.04
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,sell
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-05-01 00:00:00
theStreet since,2020-05-01 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2019-08-15 00:00:00
