,TPR
Next Earnings Announcement,2020-08-13 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.9448818897637795
Growth 1yr High Est,-0.5399239543726235
Growth 1yr Consensus Est,-0.7424029220682016
Growth 2yr Low Est,2.9561304836895386
Growth 2yr High Est,0.035823146780630366
Growth 2yr Consensus Est,1.4959768152350845
Growth 5yr Low Est,1.535783475751072
Growth 5yr High Est,0.050100414592031906
Growth 5yr Consensus Est,0.792941945171552
Growth 5yr Actual/Est,0.23044219717536624
Growth 3yr Historic,0.05011053143514016
