,TPR
Price/Earnings (TTM),
Price/Sales (TTM),0.71322
Price/Book (MRQ),1.60917
Price/Cash Flow (TTM),
5yr Low,10.18
5yr High,55.5
5yr Avg Return,-0.11276666666666665
EPS Growth 5yr,-0.0547601
Revenue Growth 5yr,0.046311099999999994
Dividend Growth 5yr,
Short Int Current Month,10763657.0
Short Int Prev Month,9443424.0
Short Int Pct of Float,0.0391231
Days to Cover,1.99647
Float,275.2471
Shares Outstanding,276.0985
Institutions Holding Shares,751.0
% Held by Institutions,0.904426
FCF Growth 5yr,0.01759496704727457
