,2015,2016,2017,2018,2019,2020,Report
high,38.88,43.71,48.85,55.5,39.63,30.4,
low,27.22,30.06,34.33,32.03,18.54,10.18,
change,-0.149,0.0825,0.2695,-0.23940000000000003,-0.1881,-0.4521,
Date,2015-06-27 00:00:00,2016-07-02 00:00:00,2017-07-01 00:00:00,2018-06-30 00:00:00,2019-06-29 00:00:00,,Balance Sheet
Cash & Equivalents,1292.0,859.0,2673.0,1243.0,969.0,,Balance Sheet
Short Term Investments,234.0,460.0,411.0,7.0,265.0,,Balance Sheet
Cash and Short Term Invs,1526.0,1319.0,3084.0,1250.0,1234.0,,Balance Sheet
"Trade Accts Recvble, Gross",223.0,247.0,270.0,316.0,303.0,,Balance Sheet
Prov. for Doubtful Accts,-3.0,-2.0,-2.0,-2.0,-4.0,,Balance Sheet
"Trade Accts Recvble, Net",220.0,245.0,268.0,314.0,298.0,,Balance Sheet
Other Receivables,,,42.0,26.0,56.0,,Balance Sheet
"Total Receivables, Net",220.0,245.0,310.0,340.0,354.0,,Balance Sheet
Total Inventory,485.0,459.0,470.0,674.0,778.0,,Balance Sheet
Prepaid Expenses,73.0,58.0,59.0,163.0,100.0,,Balance Sheet
Deferred Income Tax,,,,206.0,234.0,,Balance Sheet
Other Current Assets,105.0,91.0,32.0,6.0,91.0,,Balance Sheet
"Other Curr. Assets, Total",203.0,91.0,32.0,6.0,91.0,,Balance Sheet
Total Current Assets,2507.0,2173.0,3953.0,2433.0,2557.0,,Balance Sheet
Buildings,651.0,899.0,730.0,891.0,1006.0,,Balance Sheet
Land/Improvements,169.0,169.0,14.0,19.0,22.0,,Balance Sheet
Machinery/Equipment,35.0,35.0,34.0,465.0,593.0,,Balance Sheet
Construction in Progress,79.0,26.0,72.0,142.0,105.0,,Balance Sheet
Other Prop./Plant/Equip.,641.0,653.0,640.0,323.0,413.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1574.0,1781.0,1490.0,1840.0,2139.0,,Balance Sheet
Accumulated Depreciation,-841.0,-862.0,-798.0,-954.0,-1201.0,,Balance Sheet
Prop./Plant/Equip. - Net,733.0,920.0,691.0,885.0,939.0,,Balance Sheet
"Goodwill, Net",434.0,502.0,481.0,1484.0,1516.0,,Balance Sheet
Intangibles - Gross,364.0,364.0,358.0,1775.0,1771.0,,Balance Sheet
Accum. Intangible Amort.,-4.0,-17.0,-17.0,-42.0,-59.0,,Balance Sheet
Intangibles - Net,360.0,347.0,341.0,1733.0,1712.0,,Balance Sheet
Long Term Investments,406.0,559.0,75.0,0.0,0.0,,Balance Sheet
Other Long Term Assets,112.0,144.0,120.0,119.0,134.0,,Balance Sheet
Total Assets,4667.0,4893.0,5832.0,6678.0,6877.0,,Balance Sheet
Accounts Payable,223.0,187.0,195.0,264.0,244.0,,Balance Sheet
Accrued Expenses,600.0,625.0,559.0,576.0,577.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,11.0,15.0,0.0,1.0,1.0,,Balance Sheet
Dividends Payable,,,,97.0,97.0,,Balance Sheet
Other Current Liabilities,0.0,,,,,,Balance Sheet
"Other Curr. Lblts, Total",0.0,,,97.0,97.0,,Balance Sheet
Total Current Liabilities,835.0,827.0,754.0,938.0,918.0,,Balance Sheet
Long Term Debt,879.0,861.0,1580.0,1594.0,1597.0,,Balance Sheet
Capital Lease Obligations,,,,6.0,5.0,,Balance Sheet
Total Long Term Debt,879.0,861.0,1580.0,1600.0,1602.0,,Balance Sheet
Total Debt,890.0,876.0,1580.0,1601.0,1603.0,,Balance Sheet
"Other Liabilities, Total",463.0,522.0,496.0,689.0,610.0,,Balance Sheet
Total Liabilities,2177.0,2210.0,2830.0,3434.0,3364.0,,Balance Sheet
Redeemable Preferred Stock,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,3.0,3.0,3.0,3.0,3.0,,Balance Sheet
Additional Paid-In Capital,2754.0,2857.0,2978.0,3206.0,3302.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),-190.0,-104.0,108.0,119.0,292.0,,Balance Sheet
