,TROW
% Below High,0.18420000000000003
% Held by Institutions,0.715
52-Wk Range,['82.51 - 139.82']
Annual Dividend $,3.6
Annual Dividend %,0.0323
Ask,114.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,107.9
Bid Size,100.0
Closing Price,114.06
Day Change $,2.72
Day Change %,0.024399999999999998
Day High,114.5
Day Low,112.53
Dividend Pay Date,2020-03-30 00:00:00
"EPS (TTM, GAAP)",8.03
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.46
Last (size),72.0
Last (time),3:59p ET 05/08/20
Market Cap,26.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.21
Prev Close,111.34
Shares Outstanding,227.5M
Short Interest,0.0359
Today's Open,114.01
Volume,666791.0
Volume 10-day Avg,1162601.0
Volume Past Day,(Light)
