,TRV
% Above Low,0.2643
% Held by Institutions,0.8210999999999999
52-Wk Range,['76.99 - 155.09']
Annual Dividend $,3.4
Annual Dividend %,0.0355
Ask,101.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,92.79
Bid Size,100.0
Closing Price,97.34
Day Change $,1.54
Day Change %,0.0161
Day High,97.62
Day Low,95.51
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",9.27
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.446
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,24.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.5
Prev Close,95.8
Shares Outstanding,252.8M
Short Interest,0.0173
Today's Open,97.5
Volume,1125160.0
Volume 10-day Avg,1688749.0
Volume Past Day,(Light)
