,TT
Price/Earnings (TTM),16.91443
Price/Sales (TTM),1.28871
Price/Book (MRQ),3.49688
Price/Cash Flow (TTM),12.47636
5yr Low,47.08
5yr High,146.85
5yr Avg Return,0.08436666666666666
EPS Growth 5yr,0.1138574
Revenue Growth 5yr,0.051854899999999995
Dividend Growth 5yr,0.16216329999999998
Short Int Current Month,3598014.0
Short Int Prev Month,2516762.0
Short Int Pct of Float,0.015156099999999999
Days to Cover,2.64265
Float,238.3134
Shares Outstanding,239.2079
Institutions Holding Shares,1186.0
% Held by Institutions,0.816823
FCF Growth 5yr,0.2940803461039659
