,TT
% Above Low,0.2056
% Held by Institutions,0.8168000000000001
52-Wk Range,['70.00 - 118.10']
Annual Dividend $,2.12
Annual Dividend %,0.0262
Ask,86.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,83.6
Bid Size,100.0
Closing Price,84.39
Day Change $,3.36
Day Change %,0.0415
Day High,84.75
Day Low,82.55
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",4.99
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.797
Last (size),150.0
Last (time),6:30p ET 05/08/20
Market Cap,20.2B
"P/E Ratio (TTM, GAAP)",16.91
Prev Close,81.03
Shares Outstanding,239.2M
Short Interest,0.0152
Today's Open,82.86
Volume,1239703.0
Volume 10-day Avg,1580611.0
Volume Past Day,(Light)
