,TTWO
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.05299539170506917
Growth 1yr High Est,0.009920634920634885
Growth 1yr Consensus Est,0.03145801331285203
Growth 2yr Low Est,-0.12776926257197307
Growth 2yr High Est,0.05604086755854931
Growth 2yr Consensus Est,-0.03586419750671188
Growth 5yr Low Est,0.037848882785877024
Growth 5yr High Est,0.20254356551381028
Growth 5yr Consensus Est,0.12019622414984366
Growth 5yr Actual/Est,0.15784907838269097
Growth 3yr Historic,0.18369932432432434
