,TWTR
% Above Low,0.4965
% Held by Institutions,0.6836
52-Wk Range,['20.00 - 45.86']
Annual Dividend $,
Annual Dividend %,
Ask,29.96
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,0.8
Bid,29.85
Bid Size,700.0
Closing Price,29.93
Day Change $,1.16
Day Change %,0.0403
Day High,29.97
Day Low,28.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.61
Ex-dividend Date,No dividend
Historical Volatility,0.573
Last (size),15.0
Last (time),6:30p ET 05/08/20
Market Cap,23.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.57
Prev Close,28.77
Shares Outstanding,784.6M
Short Interest,0.058499999999999996
Today's Open,29.09
Volume,19208844.0
Volume 10-day Avg,25140769.0
Volume Past Day,(Light)
