,Industry,TWTR,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.69,18.57,Valuation,0.5859892710634269
Price/Sales (TTM),29.88,6.75,Valuation,0.22590361445783133
Price/Book (MRQ),6.13,2.67,Valuation,0.4355628058727569
"PEG Ratio (TTM, GAAP)",2.95,,Valuation,
Gross Profit Margin (TTM),0.6553,0.6675,Profitability,1.018617427132611
Operating Profit Margin (TTM),0.23120000000000002,0.0735,Profitability,0.3179065743944636
Net Profit Margin (TTM),0.20260000000000003,0.3639,Profitability,1.7961500493583413
Annual Dividend Yield,,,Dividend,
Dividend Change %,,,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.1972,-1.0714000000000001,Gowth rates,-5.433062880324544
EPS Growth (TTM),-0.10740000000000001,-0.0632,Gowth rates,0.5884543761638734
Revenue Growth (MRQ),0.1634,-0.19820000000000002,Gowth rates,-1.2129742962056305
Revenue Growth (TTM),0.2111,0.0998,Gowth rates,0.472761724301279
Return On Equity (TTM),0.192,0.1595,Effectiveness,0.8307291666666666
Return On Assets (TTM),0.10529999999999999,0.1026,Effectiveness,0.9743589743589745
Return On Investment (TTM),0.1472,0.1133,Effectiveness,0.7697010869565217
Revenue Per Employee (TTM),1422388.0,710220.0,Effectiveness,0.4993152360677958
Total Debt/Total Capital (MRQ),0.050199999999999995,0.2795,Financial strength,5.5677290836653395
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.0003,Financial strength,0.4285714285714285
Quick Ratio (MRQ),2.06,,Financial strength,
Interest Coverage (MRQ),-0.84,-19.95,Financial strength,23.75
