,UA
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-1.4411764705882353
Growth 1yr High Est,-1.4285714285714286
Growth 1yr Consensus Est,-1.434873949579832
Growth 2yr Low Est,-2.2205882352941178
Growth 2yr High Est,-2.2142857142857144
Growth 2yr Consensus Est,-2.217436974789916
Growth 5yr Low Est,-0.8880718954248366
Growth 5yr High Est,-0.9196428571428572
Growth 5yr Consensus Est,-0.9038573762838469
Growth 5yr Actual/Est,-0.9402161449375072
Growth 3yr Historic,0.17007797270955166
