,UAA
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-4.272727272727273
Growth 1yr High Est,-0.5714285714285714
Growth 1yr Consensus Est,-2.4220779220779223
Growth 2yr Low Est,-2.622474747474748
Growth 2yr High Est,0.5476190476190478
Growth 2yr Consensus Est,-1.03742784992785
Growth 5yr Low Est,-1.075943256090315
Growth 5yr High Est,0.4042443064182195
Growth 5yr Consensus Est,-0.33584947483604777
Growth 5yr Actual/Est,-0.7064700149065474
Growth 3yr Historic,0.17007797270955166
