,UAL
% Above Low,0.42810000000000004
% Held by Institutions,0.8386
52-Wk Range,['17.80 - 96.03']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,1.5
Bid,24.85
Bid Size,500.0
Closing Price,25.42
Day Change $,2.67
Day Change %,0.1174
Day High,25.44
Day Low,23.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.69
Ex-dividend Date,No dividend
Historical Volatility,0.8170000000000001
Last (size),200.0
Last (time),3:59p ET 05/08/20
Market Cap,7.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.9
Prev Close,22.75
Short Interest,0.0911
Today's Open,23.58
Volume,55613248.0
Volume 10-day Avg,47076852.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-3.174064403829417
Growth 1yr High Est,-1.5396565821749795
Growth 1yr Consensus Est,-2.3568604930021984
Growth 2yr Low Est,-2.0960394076793203
Growth 2yr High Est,-1.859222230481429
Growth 2yr Consensus Est,-1.9776308190803746
Growth 5yr Low Est,-0.8834512119806148
Growth 5yr High Est,-0.7580545378408263
Growth 5yr Consensus Est,-0.8207528749107207
Growth 5yr Actual/Est,-0.751667914693964
Growth 3yr Historic,0.16760411738400616
Price/Earnings (TTM),6.89706
Price/Sales (TTM),0.17726
Price/Book (MRQ),0.66737
Price/Cash Flow (TTM),2.19139
5yr Low,17.8
5yr High,97.85
5yr Avg Return,-0.045666666666666675
EPS Growth 5yr,0.316215
Revenue Growth 5yr,0.0214642
Dividend Growth 5yr,
Short Int Current Month,22430327.0
Short Int Prev Month,19916230.0
Short Int Pct of Float,0.0911215
Days to Cover,0.72623
Float,289.388
Shares Outstanding,290.4322
Institutions Holding Shares,834.0
FCF Growth 5yr,-1.5213891763472305
"Price/Earnings (TTM, GAAP)",6.9
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6108
Operating Profit Margin (TTM),0.068
Net Profit Margin (TTM),0.024300000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.7129000000000003
EPS Growth (TTM),-0.555
Revenue Growth (MRQ),-0.2672
Revenue Growth (TTM),-0.005
Return On Equity (TTM),0.1054
Return On Assets (TTM),0.0195
Return On Investment (TTM),0.027999999999999997
Revenue Per Employee (TTM),433844.0
Total Debt/Total Capital (MRQ),0.6525
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),0.42
Interest Coverage (MRQ),-2.05
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,sell
ford,4
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-02-25 00:00:00
theStreet since,2020-05-04 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2018-11-19 00:00:00
