,UDR
Price/Earnings (TTM),69.04749
Price/Sales (TTM),9.39811
Price/Book (MRQ),3.30779
Price/Cash Flow (TTM),15.58025
5yr Low,29.2
5yr High,51.25
5yr Avg Return,0.030633333333333332
EPS Growth 5yr,0.8689665999999999
Revenue Growth 5yr,0.0709014
Dividend Growth 5yr,0.0587015
Short Int Current Month,7124353.0
Short Int Prev Month,7078980.0
Short Int Pct of Float,0.024431500000000002
Days to Cover,3.14481
Float,292.3708
Shares Outstanding,294.886
Institutions Holding Shares,614.0
% Held by Institutions,0.984214
FCF Growth 5yr,-3.4388522597993587
