,UHS
Price/Earnings (TTM),12.45599
Price/Sales (TTM),0.76602
Price/Book (MRQ),1.75053
Price/Cash Flow (TTM),7.10562
5yr Low,65.2
5yr High,157.79
5yr Avg Return,-0.011583333333333333
EPS Growth 5yr,0.1098321
Revenue Growth 5yr,0.0675753
Dividend Growth 5yr,
Short Int Current Month,2304701.0
Short Int Prev Month,1641436.0
Short Int Pct of Float,0.0301354
Days to Cover,3.22081
Float,69.26127
Shares Outstanding,85.6083
Institutions Holding Shares,678.0
% Held by Institutions,0.96488
FCF Growth 5yr,0.04559525501751116
