,UHS
% Above Low,0.5653
% Held by Institutions,0.9649
52-Wk Range,['65.20 - 157.79']
Annual Dividend $,0.8
Annual Dividend %,0.0083
Ask,112.67
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,88.0
Bid Size,100.0
Closing Price,102.06
Day Change $,5.53
Day Change %,0.057300000000000004
Day High,102.34
Day Low,97.88
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",8.19
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.5970000000000001
Last (size),9.0
Last (time),6:30p ET 05/08/20
Market Cap,8.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.46
Prev Close,96.53
Shares Outstanding,85.6M
Short Interest,0.0301
Today's Open,98.66
Volume,538182.0
Volume 10-day Avg,715532.0
Volume Past Day,(Light)
