,UNH
Price/Earnings (TTM),20.09444
Price/Sales (TTM),1.10524
Price/Book (MRQ),4.77015
Price/Cash Flow (TTM),16.05716
5yr Low,95.0
5yr High,306.72
5yr Avg Return,0.17633333333333334
EPS Growth 5yr,0.2024559
Revenue Growth 5yr,0.13165459999999998
Dividend Growth 5yr,0.2412658
Short Int Current Month,6963685.0
Short Int Prev Month,7025121.0
Short Int Pct of Float,0.0073961
Days to Cover,1.57386
Float,941.5139
Shares Outstanding,948.3795
Institutions Holding Shares,2733.0
% Held by Institutions,0.878533
FCF Growth 5yr,0.15987885400762364
