,UNH
% Below High,0.0643
% Held by Institutions,0.8785
52-Wk Range,['187.72 - 306.72']
Annual Dividend $,4.32
Annual Dividend %,0.0152
Ask,288.5
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.7
Bid,287.01
Bid Size,400.0
Closing Price,287.0
Day Change $,2.0
Day Change %,0.006999999999999999
Day High,290.0
Day Low,285.66
Dividend Pay Date,2020-03-24 00:00:00
"EPS (TTM, GAAP)",14.28
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.469
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,272.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.09
Prev Close,285.0
Shares Outstanding,948.4M
Short Interest,0.0074
Today's Open,289.49
Volume,3200304.0
Volume 10-day Avg,3689872.0
Volume Past Day,(Below Average)
