,UNM
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.1784386617100372
Growth 1yr High Est,0.03130755064456725
Growth 1yr Consensus Est,-0.07356555553273497
Growth 2yr Low Est,-0.04736412723510913
Growth 2yr High Est,0.06029663246514072
Growth 2yr Consensus Est,0.006466252615015794
Growth 5yr Low Est,0.04376038111111344
Growth 5yr High Est,0.09253918924844334
Growth 5yr Consensus Est,0.06814978517977839
Growth 5yr Actual/Est,0.06936352370131066
Growth 3yr Historic,0.06456876456876459
