,UNP
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.23261390887290168
Growth 1yr High Est,-0.09000000000000008
Growth 1yr Consensus Est,-0.16130695443645088
Growth 2yr Low Est,0.033693045563549184
Growth 2yr High Est,0.0716056166056166
Growth 2yr Consensus Est,0.05264933108458289
Growth 5yr Low Est,0.12240835225664756
Growth 5yr High Est,0.1581508883392077
Growth 5yr Consensus Est,0.14027962029792762
Growth 5yr Actual/Est,0.13072656310228503
Growth 3yr Historic,0.10639174740004675
