,UNP
% Below High,0.1625
% Held by Institutions,0.8073
52-Wk Range,['105.08 - 188.96']
Annual Dividend $,3.88
Annual Dividend %,0.0248
Ask,159.95
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.1
Bid,154.21
Bid Size,200.0
Closing Price,158.26
Day Change $,2.04
Day Change %,0.0131
Day High,159.36
Day Low,157.88
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",8.6
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.408
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,107.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.4
Prev Close,156.22
Shares Outstanding,678.6M
Short Interest,0.0121
Today's Open,158.69
Volume,2309368.0
Volume 10-day Avg,3066723.0
Volume Past Day,(Light)
