,UPS
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.4281879194630873
Growth 1yr High Est,-0.07358738501971096
Growth 1yr Consensus Est,-0.25088765224139914
Growth 2yr Low Est,-0.03921133062356241
Growth 2yr High Est,0.029872974156811172
Growth 2yr Consensus Est,-0.0046691782333756204
Growth 5yr Low Est,0.044938718063037175
Growth 5yr High Est,0.07375553981365493
Growth 5yr Consensus Est,0.05934712893834605
Growth 5yr Actual/Est,0.05881087929177753
Growth 3yr Historic,0.06117853761226688
