,UPS
Price/Earnings (TTM),18.57274
Price/Sales (TTM),1.09869
Price/Book (MRQ),24.86421
Price/Cash Flow (TTM),11.97154
5yr Low,82.0
5yr High,135.53
5yr Avg Return,0.004799999999999993
EPS Growth 5yr,0.09259959999999999
Revenue Growth 5yr,0.049359400000000005
Dividend Growth 5yr,0.0745813
Short Int Current Month,14565593.0
Short Int Prev Month,12871346.0
Short Int Pct of Float,0.0207347
Days to Cover,3.25878
Float,701.9781
Shares Outstanding,858.4467
Institutions Holding Shares,1974.0
% Held by Institutions,0.674424
FCF Growth 5yr,-1.1475031802309044
