,2015,2016,2017,2018,2019,2020,Report
high,107.32,120.44,125.16,135.53,125.31,119.24,
low,93.64,87.3,102.12,89.89,92.65,82.0,
change,-0.0412,0.2024,0.031400000000000004,-0.1875,0.21789999999999998,-0.1942,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,2730.0,3476.0,3320.0,4225.0,5238.0,,Balance Sheet
Short Term Investments,1996.0,1091.0,749.0,810.0,503.0,,Balance Sheet
Cash and Short Term Invs,4726.0,4567.0,4069.0,5035.0,5741.0,,Balance Sheet
"Trade Accts Recvble, Gross",7252.0,7797.0,8877.0,9052.0,9645.0,,Balance Sheet
Prov. for Doubtful Accts,-118.0,-102.0,-104.0,-94.0,-93.0,,Balance Sheet
"Trade Accts Recvble, Net",7134.0,7695.0,8773.0,8958.0,9552.0,,Balance Sheet
Other Receivables,,,1573.0,940.0,382.0,,Balance Sheet
"Total Receivables, Net",7134.0,7695.0,10346.0,9898.0,9934.0,,Balance Sheet
"Other Curr. Assets, Total",1348.0,1587.0,1303.0,1277.0,1428.0,,Balance Sheet
Total Current Assets,13208.0,13849.0,15718.0,16210.0,17103.0,,Balance Sheet
Buildings,6730.0,7051.0,7969.0,9131.0,9944.0,,Balance Sheet
Land/Improvements,1263.0,1397.0,1582.0,2000.0,2087.0,,Balance Sheet
Machinery/Equipment,33652.0,34491.0,36936.0,41245.0,45713.0,,Balance Sheet
Construction in Progress,273.0,735.0,2239.0,2112.0,1983.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,2856.0,,Balance Sheet
Prop./Plant/Equip. - Gross,41918.0,43674.0,48726.0,54488.0,62583.0,,Balance Sheet
Accumulated Depreciation,-23566.0,-24874.0,-26608.0,-27912.0,-29245.0,,Balance Sheet
Prop./Plant/Equip. - Net,18352.0,18800.0,22118.0,26576.0,33338.0,,Balance Sheet
"Goodwill, Net",3419.0,3757.0,3872.0,3811.0,3813.0,,Balance Sheet
Intangibles - Gross,3825.0,4183.0,4578.0,4942.0,5347.0,,Balance Sheet
Accum. Intangible Amort.,-2276.0,-2425.0,-2614.0,-2867.0,-3180.0,,Balance Sheet
Intangibles - Net,1549.0,1758.0,1964.0,2075.0,2167.0,,Balance Sheet
Long Term Investments,473.0,476.0,483.0,170.0,24.0,,Balance Sheet
Other Long Term Assets,1055.0,1146.0,1153.0,1033.0,1082.0,,Balance Sheet
Total Assets,38311.0,40377.0,45574.0,50016.0,57857.0,,Balance Sheet
Accounts Payable,2587.0,3042.0,3934.0,5188.0,5555.0,,Balance Sheet
Accrued Expenses,2253.0,2915.0,3285.0,3762.0,3883.0,,Balance Sheet
Notes Payable/ST Debt,2965.0,3250.0,3203.0,2662.0,3243.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,53.0,431.0,808.0,143.0,181.0,,Balance Sheet
"Other Curr. Lblts, Total",2838.0,2092.0,1656.0,2332.0,2551.0,,Balance Sheet
Total Current Liabilities,10696.0,11730.0,12886.0,14087.0,15413.0,,Balance Sheet
Long Term Debt,10887.0,11993.0,19778.0,19537.0,21501.0,,Balance Sheet
Capital Lease Obligations,429.0,401.0,500.0,394.0,317.0,,Balance Sheet
Total Long Term Debt,11316.0,12394.0,20278.0,19931.0,21818.0,,Balance Sheet
Total Debt,14334.0,16075.0,24289.0,22736.0,25242.0,,Balance Sheet
Deferred Income Tax,115.0,112.0,756.0,1619.0,1632.0,,Balance Sheet
Minority Interest,21.0,24.0,30.0,16.0,16.0,,Balance Sheet
Reserves,1831.0,1794.0,1765.0,1571.0,1282.0,,Balance Sheet
