,URI
Price/Earnings (TTM),7.79911
Price/Sales (TTM),0.94649
Price/Book (MRQ),2.44628
Price/Cash Flow (TTM),2.73656
5yr Low,41.9
5yr High,190.74
5yr Avg Return,0.1267666666666667
EPS Growth 5yr,0.2403978
Revenue Growth 5yr,0.10465210000000001
Dividend Growth 5yr,
Short Int Current Month,7313258.0
Short Int Prev Month,5984883.0
Short Int Pct of Float,0.09938169999999999
Days to Cover,3.98824
Float,73.38453
Shares Outstanding,74.07792
Institutions Holding Shares,926.0
% Held by Institutions,0.944635
FCF Growth 5yr,0.2374034602698954
