,USB
Price/Earnings (TTM),8.98365
Price/Sales (TTM),2.26782
Price/Book (MRQ),1.14904
Price/Cash Flow (TTM),7.89853
5yr Low,28.59
5yr High,61.11
5yr Avg Return,-0.0026333333333333304
EPS Growth 5yr,0.061926699999999994
Revenue Growth 5yr,0.0742534
Dividend Growth 5yr,0.1000022
Short Int Current Month,14917777.0
Short Int Prev Month,15533520.0
Short Int Pct of Float,0.0098163
Days to Cover,1.93757
Float,1491.023
Shares Outstanding,1506.289
Institutions Holding Shares,1898.0
% Held by Institutions,0.746169
FCF Growth 5yr,
