,V
% Below High,0.1358
% Held by Institutions,0.9404
52-Wk Range,['133.93 - 214.17']
Annual Dividend $,1.2
Annual Dividend %,0.0066
Ask,185.4
Ask Size,1100.0
B/A Ratio,0.5454545454545454
B/A Size,600x1100
Beta,0.9
Bid,185.1
Bid Size,600.0
Closing Price,185.09
Day Change $,2.37
Day Change %,0.013000000000000001
Day High,185.75
Day Low,183.62
Dividend Pay Date,2020-06-02 00:00:00
"EPS (TTM, GAAP)",5.56
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.405
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,394.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.31
Prev Close,182.72
Shares Outstanding,2.1B
Short Interest,0.0175
Today's Open,185.03
Volume,6475195.0
Volume 10-day Avg,9853846.0
Volume Past Day,(Light)
