,2015,2016,2017,2018,2019,2020,Report
high,90.78,106.7,114.09,130.29,143.66,150.06,
low,71.07,73.18,76.94,101.42,103.92,89.62,
change,-0.0788,0.1261,0.23120000000000002,0.0195,0.2664,-0.1728,
Date,2015-10-02 00:00:00,2016-09-30 00:00:00,2017-09-29 00:00:00,2018-09-28 00:00:00,2019-09-27 00:00:00,,Balance Sheet
Cash & Equivalents,845.0,811.0,716.0,505.0,531.0,,Balance Sheet
Short Term Investments,,95.0,0.0,39.0,0.0,,Balance Sheet
Cash and Short Term Invs,845.0,907.0,716.0,544.0,531.0,,Balance Sheet
"Trade Accts Recvble, Gross",792.0,794.0,1007.0,1051.0,1153.0,,Balance Sheet
Prov. for Doubtful Accts,-21.0,-24.0,-46.0,-41.0,-47.0,,Balance Sheet
"Trade Accts Recvble, Net",771.0,775.0,967.0,1010.0,1106.0,,Balance Sheet
Other Receivables,,65.0,84.0,72.0,98.0,,Balance Sheet
"Total Receivables, Net",771.0,840.0,1050.0,1082.0,1205.0,,Balance Sheet
Invent. - Finished Goods,166.0,115.0,74.0,83.0,103.0,,Balance Sheet
Invent. - Work In Progress,98.0,70.0,48.0,51.0,72.0,,Balance Sheet
Invent. - Raw Materials,348.0,258.0,297.0,304.0,377.0,,Balance Sheet
Inventories - Other,0.0,,,,,,Balance Sheet
Total Inventory,613.0,442.0,418.0,438.0,552.0,,Balance Sheet
Prepaid Expenses,164.0,71.0,102.0,122.0,104.0,,Balance Sheet
Restricted Cash - Current,,,,,4.0,,Balance Sheet
Discont. Ops.-Curr. Assets,,356.0,11.0,2.0,0.0,,Balance Sheet
"Other Curr. Assets, Total",,356.0,11.0,2.0,4.0,,Balance Sheet
Total Current Assets,2393.0,2615.0,2297.0,2188.0,2395.0,,Balance Sheet
Buildings,,212.0,220.0,227.0,243.0,,Balance Sheet
Land/Improvements,,44.0,44.0,44.0,44.0,,Balance Sheet
Machinery/Equipment,,358.0,376.0,404.0,456.0,,Balance Sheet
Construction in Progress,,16.0,15.0,29.0,43.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,630.0,655.0,704.0,786.0,,Balance Sheet
Accumulated Depreciation,,-372.0,-400.0,-429.0,-474.0,,Balance Sheet
Prop./Plant/Equip. - Net,379.0,259.0,255.0,275.0,312.0,,Balance Sheet
"Goodwill, Net",283.0,220.0,223.0,294.0,612.0,,Balance Sheet
Intangibles - Gross,127.0,146.0,150.0,200.0,421.0,,Balance Sheet
Accum. Intangible Amort.,-65.0,-62.0,-79.0,-99.0,-121.0,,Balance Sheet
Intangibles - Net,62.0,84.0,72.0,101.0,301.0,,Balance Sheet
LT Invt. - Affiliate Comp.,,19.0,27.0,39.0,64.0,,Balance Sheet
LT Investments - Other,,0.0,60.0,23.0,58.0,,Balance Sheet
Long Term Investments,,19.0,87.0,63.0,122.0,,Balance Sheet
Note Rcvble - Long Term,,114.0,115.0,116.0,142.0,,Balance Sheet
Pension Bene. - Overfunded,,61.0,73.0,75.0,79.0,,Balance Sheet
Def. Inc. Tax - LT Asset,119.0,137.0,147.0,102.0,85.0,,Balance Sheet
Disct. Ops. - LT Asset,,273.0,,,,,Balance Sheet
Restricted Cash - LT,,,,,9.0,,Balance Sheet
Other Long Term Assets,342.0,33.0,26.0,39.0,46.0,,Balance Sheet
Total Assets,3579.0,3815.0,3294.0,3253.0,4102.0,,Balance Sheet
Accounts Payable,203.0,159.0,162.0,190.0,249.0,,Balance Sheet
Accrued Expenses,347.0,268.0,265.0,296.0,345.0,,Balance Sheet
Notes Payable/ST Debt,108.0,330.0,350.0,0.0,410.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,50.0,49.0,,,,,Balance Sheet
Customer Advances,668.0,609.0,755.0,730.0,766.0,,Balance Sheet
Income Taxes Payable,,54.0,39.0,49.0,40.0,,Balance Sheet
Discontinued Operations,,83.0,3.0,0.0,,,Balance Sheet
Other Current Liabilities,,62.0,71.0,74.0,75.0,,Balance Sheet
"Other Curr. Lblts, Total",668.0,808.0,867.0,853.0,881.0,,Balance Sheet
Total Current Liabilities,1377.0,1613.0,1645.0,1340.0,1884.0,,Balance Sheet
Total Long Term Debt,338.0,287.0,0.0,0.0,0.0,,Balance Sheet
Total Debt,496.0,666.0,350.0,0.0,410.0,,Balance Sheet
Deferred Income Tax,32.0,25.0,17.0,31.0,75.0,,Balance Sheet
Minority Interest,15.0,14.0,4.0,4.0,9.0,,Balance Sheet
Pension Benefits - Underfunded,,,,,31.0,,Balance Sheet
Other LT Liabilities,107.0,131.0,110.0,293.0,334.0,,Balance Sheet
Discont. Ops. - Lblts,,4.0,,,,,Balance Sheet
"Other Liabilities, Total",107.0,136.0,110.0,293.0,365.0,,Balance Sheet
Total Liabilities,1867.0,2074.0,1777.0,1668.0,2333.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,98.0,94.0,92.0,91.0,91.0,,Balance Sheet
Additional Paid-In Capital,682.0,679.0,716.0,778.0,846.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),1104.0,1069.0,779.0,780.0,934.0,,Balance Sheet
Unrealized Gain (Loss),0.0,0.0,0.0,0.0,2.0,,Balance Sheet
Cum. Trans. Adjustment,-44.0,-38.0,-25.0,-30.0,-43.0,,Balance Sheet
Min. Pension Lblty Adj.,-43.0,-63.0,-44.0,-35.0,-62.0,,Balance Sheet
Other Comprehensive Income,-86.0,,,,,,Balance Sheet
"Other Equity, Total",-173.0,-101.0,-69.0,-65.0,-104.0,,Balance Sheet
Total Equity,1712.0,1741.0,1518.0,1584.0,1768.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,3579.0,3815.0,3294.0,3253.0,4102.0,,Balance Sheet
Ttl Comm. Shares Outs.,98.0,94.0,92.0,91.0,91.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
