,VAR
% Above Low,0.3245
% Held by Institutions,0.9308
52-Wk Range,['89.62 - 150.06']
Annual Dividend $,
Annual Dividend %,
Ask,148.98
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,88.54
Bid Size,100.0
Closing Price,118.7
Day Change $,1.76
Day Change %,0.0151
Day High,119.15
Day Low,117.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.57
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),4200.0
Last (time),6:30p ET 05/08/20
Market Cap,10.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",46.25
Prev Close,116.94
Shares Outstanding,90.7M
Short Interest,0.0334
Today's Open,118.71
Volume,590050.0
Volume 10-day Avg,907806.0
Volume Past Day,(Light)
