,VFC
Next Earnings Announcement,2020-05-15 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.28954423592493295
Growth 1yr High Est,-0.18848167539267013
Growth 1yr Consensus Est,-0.23901295565880154
Growth 2yr Low Est,-0.4523192877737872
Growth 2yr High Est,-0.17972470866407703
Growth 2yr Consensus Est,-0.3160219982189321
Growth 5yr Low Est,-0.17632041559107367
Growth 5yr High Est,-0.0333106513808025
Growth 5yr Consensus Est,-0.10481553348593808
Growth 5yr Actual/Est,-0.09093362246167419
Growth 3yr Historic,0.053231735989398565
