,2015,2016,2017,2018,2019,2020,Report
high,62.97,65.09,70.1,61.59,53.71,42.37,
low,38.51,41.36,52.75,41.38,35.02,10.1,
change,-0.2261,0.37320000000000003,-0.098,-0.2487,-0.0378,-0.5717,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,323.0,598.0,285.0,856.0,632.0,,Balance Sheet
"Trade Accts Recvble, Gross",3691.0,3374.0,3746.0,,,,Balance Sheet
Prov. for Doubtful Accts,-63.0,-60.0,-49.0,,,,Balance Sheet
"Total Receivables, Net",3628.0,3314.0,3697.0,7199.0,7206.0,,Balance Sheet
Total Inventory,1271.0,1427.0,1828.0,2785.0,2876.0,,Balance Sheet
Prepaid Expenses,276.0,215.0,272.0,372.0,401.0,,Balance Sheet
Discont. Ops.-Curr. Assets,,305.0,1.0,,,,Balance Sheet
Other Current Assets,249.0,204.0,190.0,668.0,787.0,,Balance Sheet
"Other Curr. Assets, Total",249.0,509.0,191.0,668.0,787.0,,Balance Sheet
Total Current Assets,5747.0,6063.0,6273.0,11880.0,11902.0,,Balance Sheet
Buildings,737.0,733.0,769.0,,1263.0,,Balance Sheet
Land/Improvements,241.0,195.0,193.0,,439.0,,Balance Sheet
Machinery/Equipment,2102.0,1843.0,1927.0,,4096.0,,Balance Sheet
Other Prop./Plant/Equip.,163.0,164.0,162.0,,2134.0,,Balance Sheet
Prop./Plant/Equip. - Gross,3243.0,2935.0,3051.0,,7932.0,,Balance Sheet
Accumulated Depreciation,-1838.0,-1694.0,-1771.0,,-3908.0,,Balance Sheet
Prop./Plant/Equip. - Net,1405.0,1241.0,1280.0,2079.0,4024.0,,Balance Sheet
"Goodwill, Gross",32490.0,18218.0,18245.0,,30334.0,,Balance Sheet
Accum. Goodwill Amort.,-26009.0,-13354.0,-13354.0,,-13354.0,,Balance Sheet
"Goodwill, Net",6481.0,4864.0,4891.0,16526.0,16980.0,,Balance Sheet
Intangibles - Gross,5693.0,2781.0,2818.0,,3445.0,,Balance Sheet
Accum. Intangible Amort.,-179.0,-148.0,-152.0,,-452.0,,Balance Sheet
Intangibles - Net,5514.0,2633.0,2666.0,2943.0,2993.0,,Balance Sheet
Def. Inc. Tax - LT Asset,,,,266.0,939.0,,Balance Sheet
Disct. Ops. - LT Asset,,4291.0,12.0,56.0,23.0,,Balance Sheet
Other Long Term Assets,4618.0,5146.0,5721.0,10747.0,12658.0,,Balance Sheet
Total Assets,23765.0,24238.0,20843.0,44497.0,49519.0,,Balance Sheet
Accounts Payable,192.0,148.0,231.0,502.0,667.0,,Balance Sheet
Accrued Expenses,904.0,1001.0,921.0,1633.0,2052.0,,Balance Sheet
Notes Payable/ST Debt,0.0,450.0,679.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,222.0,23.0,19.0,1013.0,717.0,,Balance Sheet
Customer Advances,295.0,152.0,219.0,643.0,739.0,,Balance Sheet
Other Payables,1013.0,1024.0,986.0,1828.0,1977.0,,Balance Sheet
Discontinued Operations,,155.0,32.0,,,,Balance Sheet
Other Current Liabilities,934.0,755.0,885.0,2702.0,2896.0,,Balance Sheet
"Other Curr. Lblts, Total",2242.0,2086.0,2122.0,5173.0,5612.0,,Balance Sheet
Total Current Liabilities,3560.0,3708.0,3972.0,8321.0,9048.0,,Balance Sheet
Long Term Debt,8226.0,8902.0,9464.0,18100.0,17977.0,,Balance Sheet
Capital Lease Obligations,,,,,25.0,,Balance Sheet
Total Long Term Debt,8226.0,8902.0,9464.0,18100.0,18002.0,,Balance Sheet
Total Debt,8448.0,9375.0,10162.0,19113.0,18719.0,,Balance Sheet
Deferred Income Tax,1509.0,590.0,480.0,656.0,500.0,,Balance Sheet
Minority Interest,,,,293.0,336.0,,Balance Sheet
Pension Benefits - Underfunded,1575.0,1769.0,1328.0,1908.0,2121.0,,Balance Sheet
Other LT Liabilities,3260.0,3129.0,3579.0,4770.0,6305.0,,Balance Sheet
Discont. Ops. - Lblts,72.0,2451.0,42.0,,,,Balance Sheet
"Other Liabilities, Total",4907.0,7349.0,4949.0,6678.0,8426.0,,Balance Sheet
Total Liabilities,18202.0,20549.0,18865.0,34048.0,36312.0,,Balance Sheet
Common Stock,1.0,1.0,1.0,1.0,1.0,,Balance Sheet
Additional Paid-In Capital,44055.0,43913.0,43797.0,49907.0,29590.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),-20518.0,-19257.0,-18900.0,5569.0,8494.0,,Balance Sheet
Treasury Stock - Common,-17205.0,-20201.0,-22258.0,-43420.0,-22908.0,,Balance Sheet
Unrealized Gain (Loss),0.0,0.0,,,,,Balance Sheet
Cum. Trans. Adjustment,152.0,151.0,159.0,,,,Balance Sheet
Min. Pension Lblty Adj.,-922.0,-918.0,-821.0,,,,Balance Sheet
Other Comprehensive Income,,,,-1608.0,-1970.0,,Balance Sheet
