,VLO
% Above Low,1.1265
% Held by Institutions,0.7813
52-Wk Range,['31.00 - 101.99']
Annual Dividend $,3.92
Annual Dividend %,0.064
Ask,66.2
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,2.0
Bid,65.92
Bid Size,400.0
Closing Price,65.92
Day Change $,4.66
Day Change %,0.0761
Day High,66.22
Day Low,61.56
Dividend Pay Date,2020-06-03 00:00:00
"EPS (TTM, GAAP)",0.98
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.638
Last (size),795.0
Last (time),6:30p ET 05/08/20
Market Cap,26.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",66.99
Prev Close,61.26
Shares Outstanding,407.7M
Short Interest,0.0208
Today's Open,62.82
Volume,4410329.0
Volume 10-day Avg,5429067.0
Volume Past Day,(Below Average)
