,VMC
% Above Low,0.5423
% Held by Institutions,0.9279000000000001
52-Wk Range,['65.56 - 152.49']
Annual Dividend $,1.36
Annual Dividend %,0.013300000000000001
Ask,102.07
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,95.15
Bid Size,100.0
Closing Price,101.11
Day Change $,-1.07
Day Change %,-0.0105
Day High,104.65
Day Low,100.52
Dividend Pay Date,2020-03-10 00:00:00
"EPS (TTM, GAAP)",4.64
Ex-dividend,2020-02-25 00:00:00
Ex-dividend Date,02/25/20
Historical Volatility,0.459
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.81
Prev Close,102.18
Short Interest,0.016
Today's Open,104.0
Volume,1219455.0
Volume 10-day Avg,1312011.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.21476510067114096
Growth 1yr High Est,0.16221765913757702
Growth 1yr Consensus Est,-0.02627372076678197
Growth 2yr Low Est,-0.16578710874012886
Growth 2yr High Est,0.18623250448044926
Growth 2yr Consensus Est,0.010222697870160197
Growth 5yr Low Est,0.033951901761105935
Growth 5yr High Est,0.22340132914713617
Growth 5yr Consensus Est,0.12867661545412107
Growth 5yr Actual/Est,0.1360608636857541
Growth 3yr Historic,0.12318266731643923
Price/Earnings (TTM),21.81135
Price/Sales (TTM),2.68785
Price/Book (MRQ),2.39526
Price/Cash Flow (TTM),13.39763
5yr Low,65.56
5yr High,152.49
5yr Avg Return,0.05771666666666668
EPS Growth 5yr,0.245421
Revenue Growth 5yr,0.1048373
Dividend Growth 5yr,0.41318750000000004
Short Int Current Month,2110714.0
Short Int Prev Month,2335768.0
Short Int Pct of Float,0.0160261
Days to Cover,1.20235
Float,131.6843
Shares Outstanding,132.4343
Institutions Holding Shares,878.0
FCF Growth 5yr,0.3040188274086579
"Price/Earnings (TTM, GAAP)",21.81
"PEG Ratio (TTM, GAAP)",2.09
Gross Profit Margin (TTM),0.2541
Operating Profit Margin (TTM),0.1777
Net Profit Margin (TTM),0.1242
Annual Dividend Yield,0.013500000000000002
Dividend Change %,0.10710000000000001
"Dividend Growth Rate, 3 Years",0.1573
EPS Growth (MRQ),-0.5778
EPS Growth (TTM),0.17149999999999999
Revenue Growth (MRQ),-0.11539999999999999
Revenue Growth (TTM),0.10099999999999999
Return On Equity (TTM),0.11449999999999999
Return On Assets (TTM),0.0591
Return On Investment (TTM),0.0625
Revenue Per Employee (TTM),568248.0
Total Debt/Total Capital (MRQ),0.3326
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.69
Interest Coverage (MRQ),3.7
newConstructs,3
researchTeam,reduce
theStreet,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2020-03-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-05-07 00:00:00
ford since,2019-11-15 00:00:00
creditSuisse since,
