,VMC
% Above Low,0.5423
% Held by Institutions,0.9279000000000001
52-Wk Range,['65.56 - 152.49']
Annual Dividend $,1.36
Annual Dividend %,0.013300000000000001
Ask,102.07
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,95.15
Bid Size,100.0
Closing Price,101.11
Day Change $,-1.07
Day Change %,-0.0105
Day High,104.65
Day Low,100.52
Dividend Pay Date,2020-03-10 00:00:00
"EPS (TTM, GAAP)",4.64
Ex-dividend,2020-02-25 00:00:00
Ex-dividend Date,02/25/20
Historical Volatility,0.459
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.81
Prev Close,102.18
Shares Outstanding,132.4M
Short Interest,0.016
Today's Open,104.0
Volume,1219455.0
Volume 10-day Avg,1312011.0
Volume Past Day,(Average)
