,VNO
% Above Low,0.4258
% Held by Institutions,0.8912
52-Wk Range,['27.64 - 68.68']
Annual Dividend $,2.64
Annual Dividend %,0.07
Ask,60.07
Ask Size,1400.0
B/A Ratio,0.2857142857142857
B/A Size,400x1400
Beta,1.5
Bid,39.3
Bid Size,400.0
Closing Price,39.41
Day Change $,2.38
Day Change %,0.0643
Day High,39.45
Day Low,37.84
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",15.29
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.533
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,7.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.58
Prev Close,37.03
Short Interest,0.039
Today's Open,38.03
Volume,2922933.0
Volume 10-day Avg,2618088.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.9815864022662889
Growth 1yr High Est,-0.9308868501529052
Growth 1yr Consensus Est,-0.956236626209597
Growth 2yr Low Est,-0.20233166267160602
Growth 2yr High Est,-0.29730183215609857
Growth 2yr Consensus Est,-0.2498167474138523
Growth 5yr Low Est,3.1096184823896866
Growth 5yr High Est,3.1250559804736753
Growth 5yr Consensus Est,3.1173372314316814
Growth 5yr Actual/Est,2.8326930679007507
Growth 3yr Historic,2.993325834270716
Price/Earnings (TTM),2.57786
Price/Sales (TTM),4.10554
Price/Book (MRQ),1.26675
Price/Cash Flow (TTM),2.2289
5yr Low,27.64
5yr High,111.72
5yr Avg Return,-0.12719999999999998
EPS Growth 5yr,0.7295345000000001
Revenue Growth 5yr,-0.0360471
Dividend Growth 5yr,-0.0199591
Short Int Current Month,6823233.0
Short Int Prev Month,6199497.0
Short Int Pct of Float,0.038996300000000005
Days to Cover,2.47392
Float,174.9805
Shares Outstanding,191.1157
Institutions Holding Shares,648.0
FCF Growth 5yr,-1.5065725343618699
"Price/Earnings (TTM, GAAP)",2.58
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5088
Operating Profit Margin (TTM),1.5497999999999998
Net Profit Margin (TTM),1.6443
Annual Dividend Yield,0.067
Dividend Change %,0.047599999999999996
"Dividend Growth Rate, 3 Years",0.015600000000000001
EPS Growth (MRQ),-0.9745999999999999
EPS Growth (TTM),4.0089
Revenue Growth (MRQ),-0.0357
Revenue Growth (TTM),-0.1514
Return On Equity (TTM),0.615
Return On Assets (TTM),0.16829999999999998
Return On Investment (TTM),0.192
Revenue Per Employee (TTM),457726.0
Total Debt/Total Capital (MRQ),0.5014000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.04
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-03 00:00:00
theStreet since,2018-02-14 00:00:00
ford since,2019-01-04 00:00:00
creditSuisse since,
