,VNO
Price/Earnings (TTM),2.57786
Price/Sales (TTM),4.10554
Price/Book (MRQ),1.26675
Price/Cash Flow (TTM),2.2289
5yr Low,27.64
5yr High,111.72
5yr Avg Return,-0.12719999999999998
EPS Growth 5yr,0.7295345000000001
Revenue Growth 5yr,-0.0360471
Dividend Growth 5yr,-0.0199591
Short Int Current Month,6823233.0
Short Int Prev Month,6199497.0
Short Int Pct of Float,0.038996300000000005
Days to Cover,2.47392
Float,174.9805
Shares Outstanding,191.1157
Institutions Holding Shares,648.0
% Held by Institutions,0.89115
FCF Growth 5yr,-1.5065725343618699
