,VNO
% Above Low,0.4258
% Held by Institutions,0.8912
52-Wk Range,['27.64 - 68.68']
Annual Dividend $,2.64
Annual Dividend %,0.07
Ask,60.07
Ask Size,1400.0
B/A Ratio,0.2857142857142857
B/A Size,400x1400
Beta,1.5
Bid,39.3
Bid Size,400.0
Closing Price,39.41
Day Change $,2.38
Day Change %,0.0643
Day High,39.45
Day Low,37.84
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",15.29
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.533
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,7.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.58
Prev Close,37.03
Shares Outstanding,191.1M
Short Interest,0.039
Today's Open,38.03
Volume,2922933.0
Volume 10-day Avg,2618088.0
Volume Past Day,(Above Average)
