,WAB
Price/Earnings (TTM),24.83751
Price/Sales (TTM),1.27776
Price/Book (MRQ),1.11729
Price/Cash Flow (TTM),12.08045
5yr Low,35.07
5yr High,115.4
5yr Avg Return,-0.06851666666666667
EPS Growth 5yr,-0.1261065
Revenue Growth 5yr,0.21916049999999998
Dividend Growth 5yr,0.1913579
Short Int Current Month,5453813.0
Short Int Prev Month,5830660.0
Short Int Pct of Float,0.0302789
Days to Cover,4.02663
Float,179.3233
Shares Outstanding,190.2886
Institutions Holding Shares,1006.0
% Held by Institutions,1.025918
FCF Growth 5yr,0.6420264479315361
