,WAB
% Above Low,0.6344
% Held by Institutions,1.0259
52-Wk Range,['35.07 - 81.75']
Annual Dividend $,0.48
Annual Dividend %,0.0087
Ask,58.5
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.5
Bid,54.0
Bid Size,100.0
Closing Price,57.32
Day Change $,2.06
Day Change %,0.0373
Day High,57.38
Day Low,56.01
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",2.31
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.515
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.84
Prev Close,55.26
Shares Outstanding,190.3M
Short Interest,0.030299999999999997
Today's Open,56.12
Volume,1060140.0
Volume 10-day Avg,1605180.0
Volume Past Day,(Light)
