,WAT
% Above Low,0.2111
% Held by Institutions,1.0147
52-Wk Range,['154.39 - 245.68']
Annual Dividend $,
Annual Dividend %,
Ask,252.96
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,187.0
Bid Size,100.0
Closing Price,186.98
Day Change $,1.0
Day Change %,0.0054
Day High,188.42
Day Low,185.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.13
Ex-dividend Date,No dividend
Historical Volatility,0.355
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,11.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.99
Prev Close,185.98
Short Interest,0.0677
Today's Open,188.42
Volume,454768.0
Volume 10-day Avg,534110.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.27293577981651385
Growth 1yr High Est,-0.031567080045095786
Growth 1yr Consensus Est,-0.15225142993080482
Growth 2yr Low Est,0.0015447283882730756
Growth 2yr High Est,0.05872169862704457
Growth 2yr Consensus Est,0.030133213507658824
Growth 5yr Low Est,0.043905397645690375
Growth 5yr High Est,0.07311864898511505
Growth 5yr Consensus Est,0.058512023315402714
Growth 5yr Actual/Est,0.054238109047744704
Growth 3yr Historic,0.047812040501126585
Price/Earnings (TTM),22.9863
Price/Sales (TTM),4.90979
Price/Book (MRQ),
Price/Cash Flow (TTM),17.91622
5yr Low,112.0
5yr High,255.21
5yr Avg Return,0.08328333333333333
EPS Growth 5yr,0.1125577
Revenue Growth 5yr,0.0388161
Dividend Growth 5yr,
Short Int Current Month,4169417.0
Short Int Prev Month,4195568.0
Short Int Pct of Float,0.06772070000000001
Days to Cover,8.64906
Float,61.5606
Shares Outstanding,61.90868
Institutions Holding Shares,835.0
FCF Growth 5yr,0.012928751150781936
"Price/Earnings (TTM, GAAP)",22.99
"PEG Ratio (TTM, GAAP)",2.74
Gross Profit Margin (TTM),0.5757
Operating Profit Margin (TTM),0.2781
Net Profit Margin (TTM),0.2277
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7269
EPS Growth (TTM),0.0727
Revenue Growth (MRQ),-0.35090000000000005
Revenue Growth (TTM),-0.0189
Return On Equity (TTM),1.7047
Return On Assets (TTM),0.1815
Return On Investment (TTM),0.2254
Revenue Per Employee (TTM),314356.0
Total Debt/Total Capital (MRQ),1.217
Change in Debt/Total Capital Quarter over Quarter,0.0101
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),6.87
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-12-17 00:00:00
theStreet since,2019-10-30 00:00:00
ford since,2019-04-26 00:00:00
creditSuisse since,
