,WAT
% Above Low,0.2111
% Held by Institutions,1.0147
52-Wk Range,['154.39 - 245.68']
Annual Dividend $,
Annual Dividend %,
Ask,252.96
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,187.0
Bid Size,100.0
Closing Price,186.98
Day Change $,1.0
Day Change %,0.0054
Day High,188.42
Day Low,185.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.13
Ex-dividend Date,No dividend
Historical Volatility,0.355
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,11.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.99
Prev Close,185.98
Shares Outstanding,61.9M
Short Interest,0.0677
Today's Open,188.42
Volume,454768.0
Volume 10-day Avg,534110.0
Volume Past Day,(Below Average)
