,WBA
% Above Low,0.0575
% Held by Institutions,0.5811
52-Wk Range,['39.41 - 64.50']
Annual Dividend $,1.83
Annual Dividend %,0.045
Ask,41.8
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.6
Bid,41.67
Bid Size,500.0
Closing Price,41.67
Day Change $,1.01
Day Change %,0.0248
Day High,41.8
Day Low,40.88
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.41100000000000003
Last (size),5.0
Last (time),4:00p ET 05/08/20
Market Cap,36.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.71
Prev Close,40.66
Shares Outstanding,877.2M
Short Interest,0.0181
Today's Open,41.24
Volume,5966560.0
Volume 10-day Avg,6413314.0
Volume Past Day,(Average)
