,WDC
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.38655462184873945
Growth 1yr High Est,-0.3889980353634578
Growth 1yr Consensus Est,-0.3877763286060986
Growth 2yr Low Est,0.06014734660987697
Growth 2yr High Est,0.5337968022539623
Growth 2yr Consensus Est,0.29697207443191964
Growth 5yr Low Est,0.026626863460380956
Growth 5yr High Est,0.2554999235281533
Growth 5yr Consensus Est,0.14106339349426716
Growth 5yr Actual/Est,0.15126152635137446
Growth 3yr Historic,-0.017147427728861964
