,WEC
% Above Low,0.25980000000000003
% Held by Institutions,0.7406
52-Wk Range,['68.01 - 109.53']
Annual Dividend $,2.53
Annual Dividend %,0.0297
Ask,94.94
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.2
Bid,85.69
Bid Size,1000.0
Closing Price,85.68
Day Change $,0.55
Day Change %,0.006500000000000001
Day High,86.49
Day Low,84.82
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.68
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.42
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,27.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.27
Prev Close,85.13
Shares Outstanding,315.4M
Short Interest,0.0154
Today's Open,86.22
Volume,1282488.0
Volume 10-day Avg,1610091.0
Volume Past Day,(Light)
