,WELL
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.945054945054945
Growth 1yr High Est,-0.46394984326018807
Growth 1yr Consensus Est,-0.7045023941575665
Growth 2yr Low Est,-1.0725274725274725
Growth 2yr High Est,-0.17057141285816424
Growth 2yr Consensus Est,-0.6215494426928183
Growth 5yr Low Est,-1.0725274725274725
Growth 5yr High Est,-0.17057141285816424
Growth 5yr Consensus Est,-0.6215494426928183
Growth 5yr Actual/Est,0.14126455475668268
Growth 3yr Historic,0.2782688983184033
