,WRB
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.2218543046357616
Growth 1yr High Est,-0.09032258064516141
Growth 1yr Consensus Est,-0.1560884426404615
Growth 2yr Low Est,-0.02582076933915739
Growth 2yr High Est,0.055902539464653345
Growth 2yr Consensus Est,0.015040885062747977
Growth 5yr Low Est,0.08735911887652059
Growth 5yr High Est,0.12233928524886403
Growth 5yr Consensus Est,0.10484920206269231
Growth 5yr Actual/Est,0.2109688979779278
Growth 3yr Historic,0.1944760687732342
