,WU
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.36416184971098264
Growth 1yr High Est,0.04999999999999982
Growth 1yr Consensus Est,-0.1570809248554914
Growth 2yr Low Est,0.04519180241723597
Growth 2yr High Est,0.0884920634920634
Growth 2yr Consensus Est,0.06684193295464969
Growth 5yr Low Est,0.016519773106713265
Growth 5yr High Est,0.03695748280467265
Growth 5yr Consensus Est,0.026738627955692956
Growth 5yr Actual/Est,0.018555449327975926
Growth 3yr Historic,-0.008072916666666652
