,WY
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-1.435897435897436
Growth 1yr High Est,-0.34883720930232553
Growth 1yr Consensus Est,-0.8923673225998807
Growth 2yr Low Est,-1.6003016591251886
Growth 2yr High Est,0.8434385382059798
Growth 2yr Consensus Est,-0.3784315604596044
Growth 5yr Low Est,-0.9682154698088428
Growth 5yr High Est,0.2991947889621603
Growth 5yr Consensus Est,-0.33451034042334127
Growth 5yr Actual/Est,0.7051162237418686
Growth 3yr Historic,-0.1608511422254974
