,WYNN
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-5.467391304347826
Growth 1yr High Est,-0.20666666666666667
Growth 1yr Consensus Est,-2.8370289855072466
Growth 2yr Low Est,-3.1074791071617476
Growth 2yr High Est,0.07943977591036416
Growth 2yr Consensus Est,-1.5140196656256917
Growth 5yr Low Est,-1.6092363823335165
Growth 5yr High Est,0.05058945317257338
Growth 5yr Consensus Est,-0.7793234645804716
Growth 5yr Actual/Est,-1.0422668735192964
Growth 3yr Historic,-0.03770541385220286
