,XRX
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-1.0672782874617737
Growth 1yr High Est,-0.4305949008498584
Growth 1yr Consensus Est,-0.748936594155816
Growth 2yr Low Est,-5.260911871003614
Growth 2yr High Est,0.02599608191337932
Growth 2yr Consensus Est,-2.6174578945451175
Growth 5yr Low Est,-2.6327286627745345
Growth 5yr High Est,0.02028667069429896
Growth 5yr Consensus Est,-1.3062209960401179
Growth 5yr Actual/Est,0.09084617356963204
Growth 3yr Historic,0.005066108564214966
